code,time_total,time_connect,time_appconnect,time_starttransfer,exit_code
200,1.717636,1.553493,1.657303,1.712773,0
000,5.001506,0.000000,0.000000,0.000000,28
200,0.642522,0.312862,0.503785,0.637749,0
000,5.001622,0.000000,0.000000,0.000000,28
200,0.653287,0.539575,0.614055,0.650584,0
000,5.000202,0.000000,0.000000,0.000000,28
200,0.666687,0.555417,0.628844,0.662698,0
000,5.000706,0.000000,0.000000,0.000000,28
200,0.961397,0.560950,0.868078,0.957580,0
000,5.001799,0.000000,0.000000,0.000000,28
200,0.680279,0.551231,0.637430,0.677083,0
000,5.001902,0.000000,0.000000,0.000000,28
200,0.706549,0.551877,0.668834,0.702518,0
000,5.001153,0.000000,0.000000,0.000000,28
200,2.032277,0.568868,1.994602,2.027800,0
200,0.279995,0.161737,0.241313,0.274768,0
000,5.001523,0.000000,0.000000,0.000000,28
200,0.704248,0.549131,0.665900,0.700158,0
000,5.001753,0.000000,0.000000,0.000000,28
200,0.680993,0.546866,0.622863,0.677187,0
