code,time_total,time_connect,time_appconnect,time_starttransfer,launch_time,exit_code
000,5.001175,0.000000,0.000000,0.000000,01:09:33 PM,28
200,0.707124,0.565868,0.661812,0.702605,01:09:38 PM,0
000,5.000563,0.000000,0.000000,0.000000,01:09:39 PM,28
000,4.999419,0.561098,0.916635,0.000000,01:09:44 PM,28
000,4.999755,0.000000,0.000000,0.000000,01:09:49 PM,28
200,1.839902,1.552188,1.729381,1.835888,01:09:54 PM,0
000,5.000932,0.000000,0.000000,0.000000,01:09:56 PM,28
200,0.958966,0.562637,0.806003,0.954048,01:10:01 PM,0
000,5.000795,0.000000,0.000000,0.000000,01:10:02 PM,28
200,3.971142,0.307350,0.420766,3.967156,01:10:07 PM,0
200,0.345818,0.161694,0.268110,0.342176,01:10:11 PM,0
000,5.000490,0.000000,0.000000,0.000000,01:10:11 PM,28
000,5.001444,3.551830,4.096316,0.000000,01:10:16 PM,28
000,5.000601,0.000000,0.000000,0.000000,01:10:21 PM,28
200,0.718728,0.542577,0.656476,0.716132,01:10:26 PM,0
000,5.000738,0.000000,0.000000,0.000000,01:10:27 PM,28
200,0.726057,0.555544,0.677039,0.721883,01:10:32 PM,0
000,5.002126,0.000000,0.000000,0.000000,01:10:33 PM,28
000,5.000741,1.560891,1.638897,0.000000,01:10:38 PM,28
000,4.999987,0.000000,0.000000,0.000000,01:10:43 PM,28
